Upload an image,Result,flag,username,timestamp
D:\CODE\revisator\flagged\Upload an image\fddbbdd421e91f585bf207b2c2c34b0f235e139f\02.png,,,,2023-10-27 20:54:23.958961
D:\CODE\revisator\flagged\Upload an image\e920629b23af587b9897398f3578af22855defac\tmpgus_w0mk.png,Vemak sams club Indaiatuba nosso clube está chegando com um presente especial para você Seja 'Som's e e RS 75 na primeira compra no clube. cashback de RS 75 Essa oferta acaba em breve. sams ganhe,,,2023-10-27 21:13:43.481098
